#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 05 07 17 999 99.0 99.0  1.68  7.69  5.46 162 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 05 07 47 999 99.0 99.0  1.70  8.33  5.81 156 9999.0 999.0  16.0 999.0 99.0 99.00
2015 01 05 08 17 999 99.0 99.0  1.63  8.33  5.75 147 9999.0 999.0  16.4 999.0 99.0 99.00
2015 01 05 08 47 999 99.0 99.0  1.55  8.33  5.47 159 9999.0 999.0  16.6 999.0 99.0 99.00
2015 01 05 09 17 999 99.0 99.0  1.53  8.33  4.95 156 9999.0 999.0  16.8 999.0 99.0 99.00
2015 01 05 09 47 999 99.0 99.0  1.46  7.69  5.12 162 9999.0 999.0  17.1 999.0 99.0 99.00
2015 01 05 10 17 999 99.0 99.0  1.52  8.33  5.31 158 9999.0 999.0  17.3 999.0 99.0 99.00
2015 01 05 10 47 999 99.0 99.0  1.49  9.09  5.05 154 9999.0 999.0  17.4 999.0 99.0 99.00
2015 01 05 11 17 999 99.0 99.0  1.40  8.33  4.86 158 9999.0 999.0  17.3 999.0 99.0 99.00
2015 01 05 11 47 999 99.0 99.0  1.41  8.33  4.88 151 9999.0 999.0  17.4 999.0 99.0 99.00
2015 01 05 12 17 999 99.0 99.0  1.34  8.33  4.71 156 9999.0 999.0  17.6 999.0 99.0 99.00
2015 01 05 12 47 999 99.0 99.0  1.41  8.33  4.56 159 9999.0 999.0  17.8 999.0 99.0 99.00
2015 01 05 13 17 999 99.0 99.0  1.44  4.00  4.33 324 9999.0 999.0  17.9 999.0 99.0 99.00
2015 01 05 13 47 999 99.0 99.0  1.33  8.33  4.36 147 9999.0 999.0  18.0 999.0 99.0 99.00
2015 01 05 14 17 999 99.0 99.0  1.37  4.55  4.19 336 9999.0 999.0  18.2 999.0 99.0 99.00
2015 01 05 14 47 999 99.0 99.0  1.44  4.55  4.33 339 9999.0 999.0  18.1 999.0 99.0 99.00
2015 01 05 15 17 999 99.0 99.0  1.40  4.17  4.32 329 9999.0 999.0  18.2 999.0 99.0 99.00
2015 01 05 15 47 999 99.0 99.0  1.36  9.09  4.26 144 9999.0 999.0  16.3 999.0 99.0 99.00
